,Unnamed: 0,InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,Year,Month,SalePrice
3864,,55760,2015-04-15 10:28:00,Germany,2152,GER2,Female,9.0,39-40,7.0,199,0.5,2015,4,99.5
3865,,55761,2015-04-15 15:59:12,United States,2194,US14,Male,9.5,42-43,9.0,159,0.0,2015,4,159.0
3866,,55762,2015-04-15 22:28:00,Germany,2239,GER2,Male,11.0,44,10.5,179,0.5,2015,4,89.5
3867,,55763,2015-04-16 00:23:12,United States,2229,US12,Male,9.5,42-43,9.0,199,0.3,2015,4,139.29999999999998
3868,,55764,2015-04-16 02:32:48,United Kingdom,2211,UK5,Male,11.5,44-45,11.0,129,0.0,2015,4,129.0
3869,,55765,2015-04-16 06:52:00,Canada,2151,CAN6,Male,13.0,46,12.5,139,0.5,2015,4,69.5
3870,,55766,2015-04-16 07:06:24,United States,2183,US12,Male,10.0,43,9.5,169,0.0,2015,4,169.0
3871,,55767,2015-04-16 07:06:24,Germany,2157,GER1,Male,9.0,42,8.5,129,0.5,2015,4,64.5
3872,,55768,2015-04-16 10:56:48,Canada,2172,CAN6,Male,12.0,45,11.5,189,0.0,2015,4,189.0
3873,,55769,2015-04-16 11:11:12,Canada,2201,CAN1,Male,11.5,44-45,11.0,159,0.0,2015,4,159.0
3874,,55770,2015-04-16 12:23:12,United States,2176,US3,Male,10.0,43,9.5,189,0.0,2015,4,189.0
3875,,55771,2015-04-16 15:30:24,Canada,2226,CAN6,Female,7.5,38,5.5,189,0.3,2015,4,132.29999999999998
3876,,55772,2015-04-16 21:59:12,United States,2210,US15,Male,7.5,40-41,7.0,199,0.0,2015,4,199.0
3877,,55773,2015-04-16 22:28:00,United States,2166,US14,Female,10.0,40-41,8.0,199,0.0,2015,4,199.0
3878,,55774,2015-04-17 00:23:12,United Kingdom,2232,UK2,Male,10.5,43-44,10.0,199,0.0,2015,4,199.0
3879,,55775,2015-04-17 00:37:36,Germany,2166,GER2,Male,11.5,44-45,11.0,149,0.0,2015,4,149.0
3880,,55776,2015-04-17 05:40:00,United States,2225,US14,Male,10.5,43-44,10.0,129,0.3,2015,4,90.3
3881,,55777,2015-04-17 09:59:12,Germany,2205,GER1,Male,10.5,43-44,10.0,189,0.5,2015,4,94.5
3882,,55778,2015-04-17 09:59:12,Germany,2150,GER2,Male,9.5,42-43,9.0,199,0.0,2015,4,199.0
3883,,55779,2015-04-17 11:11:12,Canada,2200,CAN5,Female,9.5,40,7.5,169,0.0,2015,4,169.0
3884,,55780,2015-04-17 12:23:12,United States,2197,US2,Male,10.5,43-44,10.0,129,0.0,2015,4,129.0
3885,,55781,2015-04-17 15:30:24,Canada,2232,CAN6,Male,8.0,41,7.5,159,0.1,2015,4,143.1
3886,,55782,2015-04-17 17:40:00,Canada,2221,CAN2,Male,7.0,40,6.5,159,0.0,2015,4,159.0
3887,,55782,2015-04-17 17:40:00,Canada,2149,CAN1,Male,9.5,42-43,9.0,179,0.2,2015,4,143.20000000000002
3888,,55783,2015-04-17 19:20:48,United States,2202,US9,Male,11.0,44,10.5,179,0.5,2015,4,89.5
3889,,55784,2015-04-17 19:49:36,United States,2150,US8,Male,9.0,42,8.5,149,0.5,2015,4,74.5
3890,,55785,2015-04-17 21:59:12,Germany,2189,GER2,Male,9.5,42-43,9.0,139,0.5,2015,4,69.5
3891,,55786,2015-04-17 22:28:00,United States,2148,US14,Female,10.0,40-41,8.0,179,0.0,2015,4,179.0
3892,,55787,2015-04-17 22:42:24,United Kingdom,2182,UK4,Male,10.0,43,9.5,169,0.0,2015,4,169.0
3893,,55788,2015-04-18 00:23:12,United Kingdom,2242,UK3,Female,8.5,39,6.5,139,0.0,2015,4,139.0
3894,,55789,2015-04-18 00:23:12,Germany,2152,GER2,Male,9.5,42-43,9.0,149,0.0,2015,4,149.0
3895,,55789,2015-04-18 00:23:12,Germany,2166,GER2,Male,10.5,43-44,10.0,149,0.2,2015,4,119.2
3896,,55790,2015-04-18 00:37:36,United States,2151,US11,Female,8.0,38-39,6.0,179,0.2,2015,4,143.20000000000002
3897,,55791,2015-04-18 03:44:48,Canada,2214,CAN5,Male,9.5,42-43,9.0,169,0.0,2015,4,169.0
3898,,55792,2015-04-18 05:11:12,United States,2180,US14,Female,8.0,38-39,6.0,159,0.0,2015,4,159.0
3899,,55793,2015-04-18 10:56:48,United States,2234,US15,Female,7.0,37-38,5.0,129,0.0,2015,4,129.0
3900,,55794,2015-04-18 12:23:12,United States,2198,US12,Female,10.0,40-41,8.0,159,0.0,2015,4,159.0
3901,,55795,2015-04-18 17:40:00,Canada,2213,CAN6,Male,9.0,42,8.5,179,0.2,2015,4,143.20000000000002
3902,,55796,2015-04-18 19:06:24,United Kingdom,2226,UK2,Female,8.0,38-39,6.0,129,0.0,2015,4,129.0
3903,,55797,2015-04-18 19:20:48,Canada,2159,CAN5,Female,7.5,38,5.5,159,0.0,2015,4,159.0
3904,,55798,2015-04-18 21:44:48,Canada,2162,CAN5,Male,10.5,43-44,10.0,189,0.0,2015,4,189.0
3905,,55799,2015-04-18 21:59:12,United States,2156,US15,Male,11.5,44-45,11.0,129,0.5,2015,4,64.5
3906,,55800,2015-04-18 22:42:24,United States,2212,US15,Female,9.0,39-40,7.0,189,0.0,2015,4,189.0
3907,,55801,2015-04-19 01:49:36,United States,2233,US3,Male,9.0,42,8.5,149,0.0,2015,4,149.0
3908,,55802,2015-04-19 03:44:48,Canada,2200,CAN2,Male,10.5,43-44,10.0,139,0.2,2015,4,111.2
3909,,55803,2015-04-19 05:11:12,United States,2238,US14,Female,8.0,38-39,6.0,159,0.0,2015,4,159.0
3910,,55804,2015-04-19 11:11:12,United States,2221,US3,Male,9.5,42-43,9.0,159,0.0,2015,4,159.0
3911,,55805,2015-04-19 15:01:36,Germany,2207,GER3,Male,9.0,42,8.5,199,0.1,2015,4,179.1
3912,,55805,2015-04-19 15:01:36,Germany,2196,GER1,Male,8.5,41-42,8.0,129,0.0,2015,4,129.0
3913,,55806,2015-04-19 15:01:36,United States,2210,US12,Male,10.5,43-44,10.0,149,0.2,2015,4,119.2
3914,,55807,2015-04-19 16:13:36,Germany,2234,GER2,Male,10.0,43,9.5,159,0.5,2015,4,79.5
3915,,55808,2015-04-19 19:06:24,United Kingdom,2211,UK1,Female,8.0,38-39,6.0,179,0.3,2015,4,125.3
3916,,55809,2015-04-19 19:20:48,Canada,2226,CAN6,Male,9.5,42-43,9.0,189,0.0,2015,4,189.0
3917,,55810,2015-04-19 19:35:12,Germany,2210,GER3,Female,8.5,39,6.5,129,0.0,2015,4,129.0
3918,,55811,2015-04-19 21:01:36,Canada,2155,CAN2,Female,9.0,39-40,7.0,129,0.5,2015,4,64.5
3919,,55812,2015-04-19 21:59:12,Germany,2176,GER1,Male,9.5,42-43,9.0,139,0.0,2015,4,139.0
3920,,55813,2015-04-20 03:44:48,Germany,2185,GER1,Female,7.0,37-38,5.0,149,0.0,2015,4,149.0
3921,,55814,2015-04-20 07:06:24,United States,2225,US13,Male,8.5,41-42,8.0,189,0.1,2015,4,170.1
3922,,55815,2015-04-20 11:25:36,Canada,2170,CAN7,Female,10.5,41,8.5,139,0.3,2015,4,97.3
3923,,55816,2015-04-20 14:32:48,United States,2224,US15,Female,9.5,40,7.5,129,0.5,2015,4,64.5
3924,,55817,2015-04-20 15:01:36,Germany,2212,GER3,Male,8.5,41-42,8.0,189,0.0,2015,4,189.0
3925,,55818,2015-04-20 16:28:00,United States,2227,US15,Female,8.5,39,6.5,149,0.0,2015,4,149.0
3926,,55819,2015-04-20 19:06:24,Germany,2213,GER2,Male,10.5,43-44,10.0,139,0.5,2015,4,69.5
3927,,55820,2015-04-21 01:49:36,United States,2188,US1,Female,5.5,36,3.5,129,0.5,2015,4,64.5
3928,,55820,2015-04-21 01:49:36,United States,2226,US5,Female,10.0,40-41,8.0,129,0.2,2015,4,103.2
3929,,55821,2015-04-21 02:04:00,United States,2175,US6,Female,8.0,38-39,6.0,189,0.2,2015,4,151.20000000000002
3930,,55822,2015-04-21 02:04:00,Germany,2210,GER1,Male,11.0,44,10.5,199,0.0,2015,4,199.0
3931,,55823,2015-04-21 10:56:48,United States,2152,US13,Female,8.5,39,6.5,199,0.0,2015,4,199.0
3932,,55824,2015-04-21 11:25:36,United States,2232,US2,Male,9.5,42-43,9.0,139,0.0,2015,4,139.0
3933,,55825,2015-04-21 14:32:48,United States,2160,US8,Male,9.5,42-43,9.0,179,0.0,2015,4,179.0
3934,,55826,2015-04-21 14:32:48,United States,2151,US15,Male,9.0,42,8.5,169,0.0,2015,4,169.0
3935,,55827,2015-04-21 15:01:36,Germany,2206,GER1,Male,9.0,42,8.5,179,0.0,2015,4,179.0
3936,,55828,2015-04-21 15:16:00,Germany,2165,GER2,Male,8.5,41-42,8.0,159,0.0,2015,4,159.0
3937,,55829,2015-04-21 15:59:12,United States,2206,US14,Female,7.0,37-38,5.0,199,0.0,2015,4,199.0
3938,,55829,2015-04-21 15:59:12,United States,2209,US6,Male,11.5,44-45,11.0,159,0.0,2015,4,159.0
3939,,55830,2015-04-21 16:13:36,United Kingdom,2184,UK2,Female,9.0,39-40,7.0,159,0.1,2015,4,143.1
3940,,55831,2015-04-21 18:37:36,United Kingdom,2229,UK2,Male,11.0,44,10.5,169,0.0,2015,4,169.0
3941,,55832,2015-04-21 19:06:24,United States,2228,US10,Female,7.5,38,5.5,159,0.3,2015,4,111.3
3942,,55833,2015-04-21 19:06:24,Germany,2226,GER3,Male,10.0,43,9.5,139,0.2,2015,4,111.2
3943,,55834,2015-04-22 02:04:00,United States,2229,US15,Female,8.0,38-39,6.0,169,0.0,2015,4,169.0
3944,,55835,2015-04-22 09:30:24,Germany,2223,GER2,Female,9.0,39-40,7.0,159,0.0,2015,4,159.0
3945,,55836,2015-04-22 12:52:00,Canada,2192,CAN2,Male,9.5,42-43,9.0,179,0.1,2015,4,161.1
3946,,55837,2015-04-22 14:32:48,United States,2192,US3,Female,9.5,40,7.5,199,0.0,2015,4,199.0
3947,,55838,2015-04-22 15:59:12,United States,2217,US12,Female,10.5,41,8.5,129,0.2,2015,4,103.2
3948,,55839,2015-04-23 02:04:00,United States,2220,US8,Male,10.0,43,9.5,179,0.1,2015,4,161.1
3949,,55840,2015-04-23 02:04:00,Germany,2179,GER1,Female,7.5,38,5.5,199,0.0,2015,4,199.0
3950,,55841,2015-04-23 06:52:00,United Kingdom,2224,UK2,Female,6.5,37,4.5,179,0.0,2015,4,179.0
3951,,55842,2015-04-23 09:30:24,United Kingdom,2239,UK1,Male,9.5,42-43,9.0,179,0.3,2015,4,125.3
3952,,55843,2015-04-23 12:52:00,Canada,2152,CAN2,Male,8.5,41-42,8.0,159,0.0,2015,4,159.0
3953,,55844,2015-04-23 15:59:12,United States,2169,US12,Female,7.0,37-38,5.0,169,0.0,2015,4,169.0
3954,,55845,2015-04-23 18:37:36,United Kingdom,2182,UK4,Male,10.0,43,9.5,169,0.0,2015,4,169.0
3955,,55846,2015-04-23 21:16:00,United States,2191,US14,Male,6.5,39,6.0,179,0.1,2015,4,161.1
3956,,55847,2015-04-24 05:25:36,Germany,2234,GER1,Female,9.5,40,7.5,189,0.5,2015,4,94.5
3957,,55848,2015-04-24 06:52:00,Germany,2230,GER2,Male,10.5,43-44,10.0,199,0.1,2015,4,179.1
3958,,55849,2015-04-24 09:30:24,Germany,2205,GER1,Female,9.0,39-40,7.0,199,0.0,2015,4,199.0
3959,,55850,2015-04-24 19:06:24,United States,2186,US14,Male,11.0,44,10.5,149,0.5,2015,4,74.5
3960,,55851,2015-04-24 23:54:24,Germany,2192,GER1,Male,10.5,43-44,10.0,189,0.0,2015,4,189.0
3961,,55852,2015-04-25 02:47:12,Germany,2196,GER1,Male,8.5,41-42,8.0,129,0.0,2015,4,129.0
3962,,55853,2015-04-25 05:54:24,United States,2214,US13,Female,7.5,38,5.5,179,0.0,2015,4,179.0
3963,,55854,2015-04-25 06:08:48,Canada,2232,CAN7,Female,9.0,39-40,7.0,179,0.2,2015,4,143.20000000000002
3964,,55855,2015-04-25 06:52:00,Canada,2151,CAN6,Male,11.0,44,10.5,159,0.0,2015,4,159.0
3965,,55855,2015-04-25 06:52:00,Canada,2168,CAN6,Male,9.5,42-43,9.0,139,0.0,2015,4,139.0
3966,,55856,2015-04-25 10:42:24,Canada,2221,CAN1,Female,8.0,38-39,6.0,189,0.0,2015,4,189.0
3967,,55857,2015-04-25 19:06:24,United States,2236,US14,Male,14.0,47,13.5,149,0.0,2015,4,149.0
3968,,55858,2015-04-25 23:25:36,United Kingdom,2165,UK4,Female,6.0,36-37,4.0,199,0.0,2015,4,199.0
3969,,55859,2015-04-26 01:20:48,United States,2148,US15,Female,9.0,39-40,7.0,149,0.0,2015,4,149.0
3970,,55860,2015-04-26 05:25:36,Germany,2204,GER1,Female,9.5,40,7.5,139,0.0,2015,4,139.0
3971,,55861,2015-04-26 06:52:00,United States,2232,US12,Female,7.5,38,5.5,169,0.2,2015,4,135.20000000000002
3972,,55862,2015-04-26 10:42:24,Canada,2172,CAN6,Female,8.0,38-39,6.0,149,0.2,2015,4,119.2
3973,,55863,2015-04-26 10:56:48,Germany,2206,GER2,Male,10.5,43-44,10.0,179,0.0,2015,4,179.0
3974,,55864,2015-04-26 11:11:12,Germany,2162,GER2,Female,9.0,39-40,7.0,179,0.3,2015,4,125.3
3975,,55865,2015-04-26 14:18:24,Germany,2181,GER2,Male,11.0,44,10.5,139,0.5,2015,4,69.5
3976,,55866,2015-04-26 14:32:48,Canada,2206,CAN6,Male,10.5,43-44,10.0,129,0.0,2015,4,129.0
3977,,55867,2015-04-26 18:23:12,United States,2190,US1,Male,10.0,43,9.5,139,0.5,2015,4,69.5
3978,,55868,2015-04-26 18:23:12,Canada,2215,CAN7,Male,9.0,42,8.5,139,0.0,2015,4,139.0
3979,,55869,2015-04-27 00:37:36,Germany,2186,GER1,Female,8.5,39,6.5,179,0.2,2015,4,143.20000000000002
3980,,55870,2015-04-27 05:54:24,Germany,2213,GER2,Male,10.5,43-44,10.0,139,0.5,2015,4,69.5
3981,,55871,2015-04-27 06:08:48,United States,2236,US14,Male,14.0,47,13.5,149,0.0,2015,4,149.0
3982,,55872,2015-04-27 10:42:24,Canada,2213,CAN6,Female,8.0,38-39,6.0,139,0.0,2015,4,139.0
3983,,55873,2015-04-27 10:56:48,Germany,2197,GER2,Male,15.0,48,14.5,189,0.5,2015,4,94.5
3984,,55874,2015-04-27 11:11:12,United Kingdom,2173,UK2,Male,9.0,42,8.5,149,0.3,2015,4,104.3
3985,,55875,2015-04-27 12:08:48,Germany,2189,GER2,Female,8.0,38-39,6.0,169,0.0,2015,4,169.0
3986,,55876,2015-04-27 15:44:48,United States,2227,US7,Female,8.0,38-39,6.0,149,0.0,2015,4,149.0
3987,,55877,2015-04-27 18:23:12,United Kingdom,2165,UK4,Female,6.0,36-37,4.0,199,0.0,2015,4,199.0
3988,,55878,2015-04-27 21:16:00,United States,2161,US10,Male,9.5,42-43,9.0,139,0.0,2015,4,139.0
3989,,55879,2015-04-27 23:25:36,Canada,2220,CAN7,Male,8.5,41-42,8.0,129,0.0,2015,4,129.0
3990,,55879,2015-04-27 23:25:36,Canada,2176,CAN7,Male,8.0,41,7.5,189,0.0,2015,4,189.0
3991,,55880,2015-04-28 05:25:36,Germany,2193,GER2,Male,9.5,42-43,9.0,129,0.2,2015,4,103.2
3992,,55881,2015-04-28 06:23:12,United Kingdom,2224,UK3,Female,6.0,36-37,4.0,129,0.0,2015,4,129.0
3993,,55882,2015-04-28 08:32:48,Germany,2165,GER3,Male,10.5,43-44,10.0,139,0.1,2015,4,125.10000000000001
3994,,55883,2015-04-28 09:16:00,United Kingdom,2190,UK1,Female,7.0,37-38,5.0,189,0.0,2015,4,189.0
3995,,55883,2015-04-28 09:16:00,United Kingdom,2185,UK2,Female,7.0,37-38,5.0,129,0.2,2015,4,103.2
3996,,55884,2015-04-28 10:56:48,Germany,2207,GER1,Male,8.0,41,7.5,159,0.5,2015,4,79.5
3997,,55885,2015-04-28 11:11:12,Germany,2220,GER1,Male,9.5,42-43,9.0,169,0.3,2015,4,118.3
3998,,55886,2015-04-28 12:08:48,Germany,2165,GER2,Male,8.5,41-42,8.0,159,0.0,2015,4,159.0
3999,,55887,2015-04-28 12:23:12,United Kingdom,2150,UK3,Female,6.5,37,4.5,179,0.0,2015,4,179.0
4000,,55888,2015-04-28 13:20:48,Germany,2164,GER3,Male,9.5,42-43,9.0,149,0.0,2015,4,149.0
4001,,55889,2015-04-28 21:16:00,Canada,2232,CAN7,Female,9.0,39-40,7.0,179,0.2,2015,4,143.20000000000002
4002,,55890,2015-04-28 22:13:36,United States,2188,US10,Male,12.0,45,11.5,169,0.0,2015,4,169.0
4003,,55890,2015-04-28 22:13:36,United States,2215,US13,Female,9.5,40,7.5,169,0.5,2015,4,84.5
4004,,55891,2015-04-29 05:25:36,United States,2236,US15,Female,8.0,38-39,6.0,169,0.0,2015,4,169.0
4005,,55892,2015-04-29 07:35:12,Germany,2236,GER2,Female,8.0,38-39,6.0,199,0.0,2015,4,199.0
4006,,55893,2015-04-29 08:04:00,Germany,2181,GER1,Male,11.0,44,10.5,159,0.0,2015,4,159.0
4007,,55894,2015-04-29 08:32:48,Germany,2199,GER2,Male,6.5,39,6.0,179,0.0,2015,4,179.0
4008,,55895,2015-04-29 09:16:00,Canada,2192,CAN2,Male,9.5,42-43,9.0,179,0.1,2015,4,161.1
4009,,55896,2015-04-29 13:20:48,Germany,2156,GER1,Male,8.0,41,7.5,159,0.5,2015,4,79.5
4010,,55897,2015-04-29 13:35:12,Germany,2162,GER2,Female,9.0,39-40,7.0,179,0.3,2015,4,125.3
4011,,55898,2015-04-29 18:08:48,Canada,2213,CAN5,Male,14.0,47,13.5,149,0.2,2015,4,119.2
4012,,55899,2015-04-29 22:13:36,United States,2220,US8,Male,9.5,42-43,9.0,149,0.0,2015,4,149.0
4013,,55900,2015-04-30 04:28:00,United States,2160,US13,Female,9.5,40,7.5,129,0.5,2015,4,64.5
4014,,55901,2015-04-30 08:04:00,Germany,2177,GER1,Female,8.0,38-39,6.0,179,0.1,2015,4,161.1
4015,,55902,2015-04-30 08:32:48,Germany,2147,GER2,Male,15.0,48,14.5,179,0.1,2015,4,161.1
4016,,55903,2015-04-30 21:16:00,Germany,2206,GER2,Male,10.5,43-44,10.0,179,0.0,2015,4,179.0
4017,,55904,2015-04-30 22:13:36,United States,2220,US8,Male,10.0,43,9.5,179,0.1,2015,4,161.1
4018,,55904,2015-04-30 22:13:36,United States,2152,US7,Male,9.5,42-43,9.0,169,0.1,2015,4,152.1
4019,,55904,2015-04-30 22:13:36,United States,2188,US10,Male,12.0,45,11.5,169,0.0,2015,4,169.0
4020,,55905,2015-04-30 22:56:48,United States,2227,US14,Male,9.5,42-43,9.0,139,0.5,2015,4,69.5
4021,,55906,2015-05-01 04:28:00,Germany,2209,GER2,Male,11.0,44,10.5,169,0.0,2015,5,169.0
4022,,55907,2015-05-01 04:42:24,United States,2177,US12,Female,8.0,38-39,6.0,139,0.0,2015,5,139.0
4023,,55908,2015-05-01 06:23:12,United Kingdom,2242,UK1,Male,8.0,41,7.5,129,0.3,2015,5,90.3
4024,,55909,2015-05-01 08:04:00,Germany,2203,GER3,Male,7.5,40-41,7.0,189,0.0,2015,5,189.0
4025,,55910,2015-05-01 16:56:48,Germany,2241,GER2,Male,10.5,43-44,10.0,159,0.0,2015,5,159.0
4026,,55910,2015-05-01 16:56:48,Germany,2182,GER2,Female,11.0,41-42,9.0,179,0.0,2015,5,179.0
4027,,55911,2015-05-01 18:08:48,United States,2212,US14,Female,6.5,37,4.5,129,0.0,2015,5,129.0
4028,,55912,2015-05-01 20:18:24,United States,2186,US1,Male,8.0,41,7.5,189,0.1,2015,5,170.1
4029,,55913,2015-05-01 21:16:00,Germany,2197,GER2,Male,15.0,48,14.5,189,0.5,2015,5,94.5
4030,,55914,2015-05-01 22:56:48,United States,2208,US14,Male,9.5,42-43,9.0,129,0.0,2015,5,129.0
4031,,55915,2015-05-02 00:52:00,United States,2242,US13,Female,8.5,39,6.5,169,0.2,2015,5,135.20000000000002
4032,,55916,2015-05-02 01:20:48,Canada,2241,CAN3,Female,10.5,41,8.5,129,0.0,2015,5,129.0
4033,,55917,2015-05-02 04:28:00,United States,2220,US8,Male,9.5,42-43,9.0,149,0.0,2015,5,149.0
4034,,55918,2015-05-02 06:23:12,United States,2204,US15,Female,9.0,39-40,7.0,179,0.0,2015,5,179.0
4035,,55919,2015-05-02 16:56:48,United States,2222,US12,Male,10.5,43-44,10.0,149,0.0,2015,5,149.0
4036,,55920,2015-05-02 16:56:48,Germany,2173,GER1,Male,8.5,41-42,8.0,179,0.0,2015,5,179.0
4037,,55921,2015-05-02 17:40:00,Canada,2219,CAN2,Female,8.5,39,6.5,179,0.0,2015,5,179.0
4038,,55922,2015-05-02 21:59:12,United States,2175,US14,Male,9.5,42-43,9.0,159,0.0,2015,5,159.0
4039,,55923,2015-05-02 22:56:48,United States,2231,US14,Male,9.0,42,8.5,149,0.0,2015,5,149.0
4040,,55924,2015-05-03 00:08:48,Germany,2217,GER2,Male,9.5,42-43,9.0,149,0.3,2015,5,104.3
4041,,55924,2015-05-03 00:08:48,Germany,2147,GER2,Male,15.0,48,14.5,179,0.1,2015,5,161.1
4042,,55925,2015-05-03 03:16:00,United Kingdom,2159,UK5,Female,6.0,36-37,4.0,189,0.5,2015,5,94.5
4043,,55926,2015-05-03 03:30:24,Germany,2206,GER1,Male,13.0,46,12.5,159,0.0,2015,5,159.0
4044,,55927,2015-05-03 03:44:48,Germany,2154,GER1,Male,10.5,43-44,10.0,199,0.2,2015,5,159.20000000000002
4045,,55928,2015-05-03 05:40:00,Canada,2223,CAN6,Female,9.5,40,7.5,139,0.0,2015,5,139.0
4046,,55929,2015-05-03 08:32:48,Canada,2164,CAN2,Female,8.5,39,6.5,169,0.1,2015,5,152.1
4047,,55930,2015-05-03 17:25:36,United States,2236,US1,Female,9.5,40,7.5,189,0.3,2015,5,132.29999999999998
4048,,55931,2015-05-03 17:40:00,Canada,2196,CAN2,Male,9.0,42,8.5,139,0.3,2015,5,97.3
4049,,55931,2015-05-03 17:40:00,Canada,2217,CAN6,Female,8.5,39,6.5,159,0.0,2015,5,159.0
4050,,55932,2015-05-03 19:20:48,United States,2227,US14,Male,10.5,43-44,10.0,199,0.0,2015,5,199.0
4051,,55933,2015-05-03 21:59:12,United States,2208,US14,Male,9.5,42-43,9.0,129,0.0,2015,5,129.0
4052,,55933,2015-05-03 21:59:12,United States,2175,US14,Male,9.5,42-43,9.0,159,0.0,2015,5,159.0
4053,,55934,2015-05-03 23:25:36,United States,2195,US4,Female,8.5,39,6.5,189,0.2,2015,5,151.20000000000002
4054,,55935,2015-05-04 03:30:24,Germany,2164,GER3,Male,9.5,42-43,9.0,149,0.0,2015,5,149.0
4055,,55936,2015-05-04 06:08:48,Germany,2169,GER1,Male,9.5,42-43,9.0,129,0.0,2015,5,129.0
4056,,55937,2015-05-04 08:18:24,Germany,2179,GER2,Male,9.5,42-43,9.0,149,0.2,2015,5,119.2
4057,,55938,2015-05-04 08:32:48,Canada,2238,CAN2,Female,8.5,39,6.5,129,0.2,2015,5,103.2
4058,,55939,2015-05-04 18:37:36,Germany,2224,GER1,Male,11.0,44,10.5,189,0.0,2015,5,189.0
4059,,55940,2015-05-04 18:52:00,United States,2159,US10,Female,8.0,38-39,6.0,159,0.0,2015,5,159.0
4060,,55941,2015-05-04 20:18:24,Canada,2231,CAN1,Female,10.5,41,8.5,169,0.0,2015,5,169.0
4061,,55942,2015-05-04 23:25:36,United States,2240,US13,Female,8.5,39,6.5,199,0.2,2015,5,159.20000000000002
4062,,55943,2015-05-05 03:16:00,Canada,2198,CAN5,Male,9.0,42,8.5,169,0.3,2015,5,118.3
4063,,55944,2015-05-05 03:59:12,Germany,2176,GER1,Male,11.5,44-45,11.0,199,0.3,2015,5,139.29999999999998
4064,,55945,2015-05-05 03:59:12,Canada,2227,CAN1,Female,8.0,38-39,6.0,179,0.3,2015,5,125.3
4065,,55946,2015-05-05 06:08:48,Canada,2221,CAN1,Female,8.0,38-39,6.0,189,0.0,2015,5,189.0
4066,,55947,2015-05-05 08:18:24,United States,2165,US5,Female,8.5,39,6.5,129,0.3,2015,5,90.3
4067,,55948,2015-05-05 08:32:48,Canada,2190,CAN3,Female,8.5,39,6.5,139,0.3,2015,5,97.3
4068,,55949,2015-05-05 10:28:00,United States,2165,US11,Female,8.5,39,6.5,189,0.1,2015,5,170.1
4069,,55950,2015-05-05 16:42:24,Germany,2178,GER2,Female,8.0,38-39,6.0,129,0.0,2015,5,129.0
4070,,55951,2015-05-05 18:37:36,United Kingdom,2225,UK5,Female,7.5,38,5.5,169,0.1,2015,5,152.1
4071,,55952,2015-05-05 20:18:24,United States,2232,US8,Male,8.5,41-42,8.0,199,0.0,2015,5,199.0
4072,,55953,2015-05-05 22:28:00,United States,2165,US11,Female,8.5,39,6.5,189,0.1,2015,5,170.1
4073,,55954,2015-05-06 01:49:36,Canada,2196,CAN2,Male,9.0,42,8.5,139,0.3,2015,5,97.3
4074,,55955,2015-05-06 02:32:48,United States,2206,US13,Male,6.0,39,5.5,139,0.0,2015,5,139.0
4075,,55955,2015-05-06 02:32:48,United States,2224,US6,Female,8.0,38-39,6.0,129,0.1,2015,5,116.10000000000001
4076,,55956,2015-05-06 03:59:12,United States,2174,US3,Male,10.5,43-44,10.0,199,0.1,2015,5,179.1
4077,,55957,2015-05-06 06:37:36,Germany,2238,GER3,Male,10.0,43,9.5,149,0.2,2015,5,119.2
4078,,55958,2015-05-06 10:13:36,Germany,2241,GER1,Male,9.5,42-43,9.0,139,0.0,2015,5,139.0
4079,,55959,2015-05-06 14:32:48,United States,2196,US4,Female,8.0,38-39,6.0,129,0.2,2015,5,103.2
4080,,55960,2015-05-06 16:42:24,Germany,2226,GER2,Female,8.0,38-39,6.0,179,0.5,2015,5,89.5
4081,,55961,2015-05-06 18:23:12,Canada,2160,CAN6,Female,9.5,40,7.5,189,0.0,2015,5,189.0
4082,,55962,2015-05-06 18:52:00,Canada,2222,CAN2,Male,10.0,43,9.5,129,0.0,2015,5,129.0
4083,,55963,2015-05-07 02:32:48,United States,2224,US6,Female,8.0,38-39,6.0,129,0.1,2015,5,116.10000000000001
4084,,55964,2015-05-07 02:32:48,Germany,2219,GER2,Male,9.5,42-43,9.0,129,0.0,2015,5,129.0
4085,,55965,2015-05-07 03:01:36,Canada,2194,CAN5,Male,9.5,42-43,9.0,129,0.0,2015,5,129.0
4086,,55966,2015-05-07 03:59:12,United States,2225,US1,Female,7.5,38,5.5,129,0.0,2015,5,129.0
4087,,55967,2015-05-07 03:59:12,Canada,2221,CAN1,Female,8.0,38-39,6.0,189,0.0,2015,5,189.0
4088,,55968,2015-05-07 04:13:36,United States,2159,US9,Female,6.0,36-37,4.0,159,0.1,2015,5,143.1
4089,,55969,2015-05-07 10:13:36,Germany,2193,GER2,Male,9.5,42-43,9.0,129,0.2,2015,5,103.2
4090,,55969,2015-05-07 10:13:36,Germany,2227,GER1,Male,12.0,45,11.5,179,0.3,2015,5,125.3
4091,,55969,2015-05-07 10:13:36,Germany,2209,GER1,Female,8.5,39,6.5,199,0.1,2015,5,179.1
4092,,55970,2015-05-07 14:32:48,United States,2151,US12,Female,8.0,38-39,6.0,169,0.3,2015,5,118.3
4093,,55971,2015-05-07 15:30:24,Canada,2190,CAN5,Male,11.0,44,10.5,139,0.1,2015,5,125.10000000000001
4094,,55972,2015-05-07 17:54:24,Canada,2231,CAN6,Male,10.0,43,9.5,199,0.5,2015,5,99.5
